Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,5/10/2016,2016,5,10,†,15,,5,,10,,8,,0,,13,,0,,13,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/11/2016,2016,5,11,†,11,,4,,7.5,,10.5,,0,,5,,0,,5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/12/2016,2016,5,12,†,4,,-1,,1.5,,16.5,,0,,0.5,,10,,10.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/13/2016,2016,5,13,†,8,,-2,,3,,15,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/14/2016,2016,5,14,†,16,,-5,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/15/2016,2016,5,15,†,18,,5,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/16/2016,2016,5,16,†,24,,-1,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/17/2016,2016,5,17,†,27,,2,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/18/2016,2016,5,18,†,24,,10,,17,,1,,0,,1,,0,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/19/2016,2016,5,19,†,28,,6,,17,,1,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/20/2016,2016,5,20,†,28,,14,,21,,0,,3,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/21/2016,2016,5,21,†,28,,3,,15.5,,2.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/22/2016,2016,5,22,†,26,,15,,20.5,,0,,2.5,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/23/2016,2016,5,23,†,24,,7,,15.5,,2.5,,0,,0.5,,0,,0.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/24/2016,2016,5,24,†,13,,8,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/25/2016,2016,5,25,†,20,,0,,10,,8,,0,,5,,0,,5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/26/2016,2016,5,26,†,25,,12,,18.5,,0,,0.5,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/27/2016,2016,5,27,†,9,,7,,8,,10,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/28/2016,2016,5,28,†,11,,6,,8.5,,9.5,,0,,0.5,,0,,0.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/29/2016,2016,5,29,†,20,,7,,13.5,,4.5,,0,,1.5,,0,,1.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/30/2016,2016,5,30,†,18,,9,,13.5,,4.5,,0,,3,,0,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/31/2016,2016,5,31,†,11,,10,,10.5,,7.5,,0,,3,,0,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/1/2016,2016,6,1,†,20,,6,,13,,5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/2/2016,2016,6,2,†,22,,0,,11,,7,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/3/2016,2016,6,3,†,20,,9,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/4/2016,2016,6,4,†,23,,11,,17,,1,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/5/2016,2016,6,5,†,22,,10,,16,,2,,0,,3,,0,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/6/2016,2016,6,6,†,18,,8,,13,,5,,0,,1.5,,0,,1.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/7/2016,2016,6,7,†,22,,1,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/8/2016,2016,6,8,†,24,,11,,17.5,,0.5,,0,,4,,0,,4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/9/2016,2016,6,9,†,25,,11,,18,,0,,0,,10,,0,,10,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/10/2016,2016,6,10,†,25,,20,,22.5,,0,,4.5,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,6/11/2016,2016,6,11,†,21,,7,,14,,4,,0,,17,,0,,17,,0,,,,,
